"","issu","act","ctxt","summ","area","date","id"
"1","SA",NA,"Council Motion","Hon Emily LAU moved a motion ""That this Council urges the Executive Authorities to conduct a public consultation as soon as possible on the relationship between the executive and the legislature, the ministerial system and the election of the Chief Executive (CE) and the Legislative Council (LegCo) by universal and equal suffrage"".  The motion was passed. [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000112fe.pdf"" target=""_blank"">Hansard</a> ""page 93""]","Constitutional Affairs","12.1.00",1
"2","SA",NA,"Question &amp; Answer Session of CE","CE made a statement on, inter alia, the executive-legislature relationship. [<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000113fe.pdf"" target=""_blank"">Hansard</a>]","Constitutional Affairs","13.1.00",2
"3","SA",NA,"Constitutional Affairs Panel","The Constitutional Affairs Panel (CA Panel) discussed how to follow up Hon Emily LAU's motion.  CA Panel decided to conduct a public consultation on the development of the Hong Kong Special Administrative Region (HKSAR)'s political system and present a report to the Council, and that the Panel Chairman would move a motion on the subject for debate in the Council before the end of the session.","Constitutional Affairs","17.1.00",3
"4","SA",NA,"Constitutional Affairs Panel","CA Panel was briefed on the Research Reports on Systems of Governments in seven countries prepared by the LegCo Secretariat.
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Singapore [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp03.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">New Zealand [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp04.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Germany [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp05.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">The United Kingdom [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp06.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Japan [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp07.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">France [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp08.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">The United States [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp09.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">The Overall Comparison Table [<a href=""http://www.legco.gov.hk/yr99-00/english/sec/library/990rp10.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>","Constitutional Affairs","17.4.00",4
"5","SA",NA,"Council Motion","Dr Hon LEONG Che-hung, Chairman of the House Committee (HC), moved a motion urging the Government to consider the views expressed by Members on the ""Report on Development of the Political System of the Hong Kong Special Administrative Region"" tabled by the Panel. [<a href=""http://www.legco.gov.hk/yr99-00/english/panels/ca/reports/ca-rep_1.pdf"" target=""_blank"">Report</a>]  The motion was passed.[<a href=""http://www.legco.gov.hk/yr99-00/english/counmtg/hansard/000614fe.pdf"" target=""_blank"">Hansard</a> ""page 165""]","Constitutional Affairs","14.6.00",5
"6","SA",NA,"Policy Address","CE undertook in the 2000 Policy Address that the Administration would review how the accountability of principal officials could be enhanced.  [<a href=""http://www.legco.gov.hk/yr00-01/chinese/counmtg/hansard/001011fc.pdf"" target=""_blank"">2000 Policy Address</a> ""paragraphs 106 to 116""]","Constitutional Affairs","11.10.00",6
"7","SA",NA,"Constitutional Affairs Panel","CA Panel discussed with the Administration the review on the system of accountability for principal officials referred to in CE's 2000 Policy Address. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/126e08.pdf"" target=""_blank"">Paper</a>], [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b270e04.pdf"" target=""_blank"">Follow-up paper</a>] &amp; [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b270e05.pdf"" target=""_blank"">Follow-up paper</a>]","Constitutional Affairs","31.10.00",7
"8","SA",NA,"Constitutional Affairs Panel","CA Panel discussed the issues for public consultation by the Panel on the proposed system of accountability for principal officials [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b498e04.pdf"" target=""_blank"">Paper</a>], and the suggestions made by-
<table>
<tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Hon Emily LAU. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b498e05.pdf"" target=""_blank"">Paper</a>]
</td></tr><tr><td valign=""top""><small>&bull;</small>&nbsp;</td><td valign=""top"">Dr Hon YEUNG Sum. [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b498e06.pdf"" target=""_blank"">Paper</a>]
</td></tr></table>","Constitutional Affairs","18.12.00",8
"9","SA",NA,"Constitutional Affairs Panel","CA Panel received views from academica on the proposed system of accountability for principal officials.","Constitutional Affairs","3.3.01",9
"10","SA",NA,"Constitutional Affairs Panel","CA Panel discussed the Administration's paper entitled ""System of Accountability of Principal Officials"". [<a href=""http://www.legco.gov.hk/yr00-01/english/panels/ca/papers/b1601e02.pdf"" target=""_blank"">Paper</a>]","Constitutional Affairs","21.5.01",10
